lr,hidden1_dim,hidden2_dim,weight_decay,training_loss,training_acc,validation_loss,validation_acc
0.1,64,64,1,0.3654496269668358,0.8698333333333333,0.3990678448046643,0.856
0.1,64,64,0.1,0.3480369428934316,0.8753703703703704,0.38913406071403406,0.856
0.1,64,64,0.001,0.357584517545027,0.8725185185185185,0.40012463869642406,0.8543333333333333
0.1,64,128,1,0.36497539643802845,0.8708518518518519,0.40299776204248555,0.8528333333333333
0.1,64,128,0.1,0.33843751215005885,0.8776851851851852,0.3780308931110488,0.8568333333333333
0.1,64,128,0.001,0.336799756719092,0.879462962962963,0.37877376034293136,0.8598333333333333
0.1,128,64,1,0.35948770871264024,0.8723333333333333,0.3946653539190733,0.8551666666666666
0.1,128,64,0.1,0.33570030151600627,0.8798518518518519,0.37929242565630056,0.8593333333333333
0.1,128,64,0.001,0.3375124204921781,0.8797962962962963,0.38357001620616016,0.8593333333333333
0.1,128,128,1,0.3551734869819857,0.8744259259259259,0.3904856096411733,0.8535
0.1,128,128,0.1,0.3328620348228947,0.88,0.3738867002303744,0.8585
0.1,128,128,0.001,0.32600575129888176,0.8836851851851852,0.37177548400338856,0.8645
0.1,256,64,1,0.35493263530540836,0.8749074074074074,0.3910212829089182,0.8548333333333333
0.1,256,64,0.1,0.3297540855570025,0.880425925925926,0.373303418663024,0.8596666666666667
0.1,256,64,0.001,0.32973764183166054,0.8820555555555556,0.3730231105489966,0.8643333333333333
0.1,256,128,1,0.34716592582488703,0.8779074074074074,0.3859477697931923,0.8586666666666667
0.1,256,128,0.1,0.32321362765583583,0.8849814814814815,0.36925130271098333,0.8596666666666667
0.1,256,128,0.001,0.3217352921596298,0.8842592592592593,0.3706429971680176,0.8613333333333333
0.1,256,256,1,0.3457262966718538,0.8775925925925926,0.3828685165600535,0.8568333333333333
0.1,256,256,0.1,0.31587007276005513,0.8873888888888889,0.3605954170749416,0.8626666666666667
0.1,256,256,0.001,0.317332896260408,0.8863333333333333,0.3656292900873167,0.8646666666666667
0.01,64,64,1,0.5190566297922744,0.8176666666666667,0.5446985137925529,0.8071666666666667
0.01,64,64,0.1,0.528985694938295,0.8095,0.5560800103495367,0.802
0.01,64,64,0.001,0.519625038248165,0.8162962962962963,0.5492425866768259,0.8033333333333333
0.01,64,128,1,0.5003949236308859,0.8235,0.525246021974113,0.8125
0.01,64,128,0.1,0.5026552858228917,0.8211296296296297,0.5345671985836327,0.8066666666666666
0.01,64,128,0.001,0.5071665135878058,0.818037037037037,0.5372232363006375,0.8036666666666666
0.01,128,64,1,0.5098062297780263,0.8220185185185185,0.5326031423473612,0.8165
0.01,128,64,0.1,0.5047323732418673,0.8230185185185185,0.5282975803090333,0.8115
0.01,128,64,0.001,0.49750424666742904,0.8248703703703704,0.5258511166980903,0.8133333333333334
0.01,128,128,1,0.4925563423219126,0.8257962962962963,0.5175341142161715,0.8143333333333334
0.01,128,128,0.1,0.491832149482754,0.8272222222222222,0.5164803047755957,0.815
0.01,128,128,0.001,0.4928293144033325,0.8266851851851852,0.5214059342996957,0.817
0.01,256,64,1,0.4923386632498132,0.8264814814814815,0.5194029059513985,0.8136666666666666
0.01,256,64,0.1,0.4889918350362999,0.8273703703703704,0.517963495563895,0.8178333333333333
0.01,256,64,0.001,0.4948620445099991,0.8254444444444444,0.5153260575170722,0.8116666666666666
0.01,256,128,1,0.49086739974062654,0.8276666666666667,0.5187770914471068,0.8128333333333333
0.01,256,128,0.1,0.4878454274210449,0.8304444444444444,0.5166727185532743,0.8143333333333334
0.01,256,128,0.001,0.4841689363163498,0.8297777777777777,0.513691726069556,0.8156666666666667
best parameters: lr=0.1, hidden1_dim=256, hidden2_dim=256, weight_decay=0.001
